[45] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[46] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[47] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[48] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[49] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[50] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[51] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[52] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[53] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[54] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[55] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[56] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[57] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[58] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[59] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[60] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[61] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[62] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[63] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[64] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[65] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[66] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[67] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[68] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[69] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[70] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[71] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[72] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[73] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[74] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[75] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[76] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[77] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[78] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[79] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[80] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[81] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[82] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[83] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[84] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[85] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[86] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[87] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[88] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[89] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[90] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[91] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[92] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[93] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[94] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[95] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[96] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[97] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[98] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[99] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[100] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[101] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[102] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[103] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[104] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[105] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[106] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[107] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[108] get_twelvedata_history被调用: symbol=AAPL, interval=60, range=1week - 修复版v2
[109] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[110] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[111] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[112] get_twelvedata_history被调用: symbol=AAPL, interval=60, range=1week - 修复版v2
[113] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[114] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[115] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[116] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[117] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[118] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[119] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[120] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[121] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[122] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[123] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[124] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[125] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[126] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[127] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[128] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[129] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[130] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[131] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[132] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[133] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[134] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[135] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[136] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[137] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[138] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[139] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[140] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[141] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[142] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[143] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[144] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[145] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[146] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[147] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[148] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[149] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[150] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[151] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[152] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[153] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[154] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[155] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[156] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[157] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[158] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[159] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[160] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[161] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[162] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[163] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[164] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[165] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[166] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[167] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[168] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[169] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[170] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[171] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[172] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[173] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[174] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[175] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[176] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[177] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[178] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[179] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[1] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[2] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[3] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[4] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[5] get_twelvedata_history被调用: symbol=AAPL, interval=60, range=1week - 修复版v2
[6] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[7] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[8] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[9] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[10] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[11] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[12] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[13] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[14] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[15] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[16] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[17] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[18] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[19] get_twelvedata_history被调用: symbol=AAPL, interval=60, range=1week - 修复版v2
[20] get_twelvedata_history被调用: symbol=AAPL, interval=30, range=1day - 修复版v2
[21] get_twelvedata_history被调用: symbol=AAPL, interval=60, range=1week - 修复版v2
[22] get_twelvedata_history被调用: symbol=AAPL, interval=30, range=1day - 修复版v2
[23] get_twelvedata_history被调用: symbol=AAPL, interval=60, range=1week - 修复版v2
[24] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[25] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[26] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1year - 修复版v2
[1] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[1] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=3month - 修复版v2
[27] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[28] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[29] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
[30] get_twelvedata_history被调用: symbol=AAPL, interval=D, range=1month - 修复版v2
